id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Без категории,fold
2945792,5,спасибо,0,0,1,1,0,0,4
3234340,5,спасибо!,0,0,0,0,0,1,3
3380332,5,Отлично ,0,1,0,1,0,0,1
3381812,5,Благодарю за оперативное решение проблемы ! ,0,0,0,0,0,1,3
3461991,5,Прекрасный специалист! Побольше таких,0,0,0,0,0,1,1
3551430,5,Спасибо ,0,0,1,1,0,0,2
3572768,1,"пересчет, и скорость 
",1,0,0,0,0,0,4
3584536,5,Спасибо за обновление покраски стен,0,0,1,1,0,0,3
3596020,5,выполнили быстро,1,0,0,1,0,0,3
3617808,5,Спасибо! ,0,0,0,0,0,1,4
3627490,5,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,1,0,1,1,0,0,3
3657819,5,"спасибо 
",0,0,1,1,0,0,2
3695420,5,Решили мой вопрос. Спасибо! ,0,0,0,0,1,0,1
3716702,5,Очень радует работа УК. Оперативно! Спасибо!,0,0,0,0,0,1,4
3726842,5,Все исправили ,0,0,0,0,0,1,2
3745025,5,спасибо за оперативную работу ,0,0,1,1,0,0,2
3749719,5,"Выполнили отлично , обработка заявки была слишком дорогой ",0,1,0,1,0,0,3
3751364,5,спасибо большое! теперь не скрипят ,0,0,1,1,0,0,1
3770102,5,Спасибо!,0,0,0,0,0,1,2
3773834,1,Норм,0,0,0,0,0,1,0
3791959,5,спасибо. все прошло очень хорошо,0,1,0,1,0,0,1
3797804,5,"Спасибо, пришли все поменяли за 10 минут ",0,0,0,0,0,1,1
3799741,5,Все очень оперативно ,1,0,0,0,0,0,1
3802024,5,Огромное спасибо.,0,0,0,0,0,1,2
3805876,5,Все отлично! Спасибо.,0,0,0,0,0,1,3
3812092,5,Хороший мастер,0,0,1,0,0,0,2
3815412,5,"Спасибо за оперативность! 
",0,0,1,1,0,0,0
3820641,5,"выполнена

",0,0,0,1,0,0,3
3828569,5,"Все супер, Мастер 👍",0,0,1,0,0,0,4
3829748,5,Благодарю ребят.,0,0,0,0,0,1,3
3831509,5,Спасибо большое ,0,0,1,1,0,0,2
3834081,5,"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",0,0,1,1,0,0,1
